label,text
2,"Cheap, but does not comes with original box.. the filters were crushed on delivery, but yet to try if can still use or not.. "
2,"Will not buy this again. So tiny, not useful at all."
3,"In general, a satisfactory item. However, the battery life is way below what the stated 10 hours of talk time. It's around 3-4 for me. Shop claims that it ""gets better with more charging"". Well, you be the judge for that. I hope people be aware of this misrepresentation here."
1,Ordered dark grey get this colour.. and the shorts is different from the picture 
2,The bowl is smaller then expected and it’s misshapen the quality is meh 😕 it’s like takeaway plastic container kinda quality. Brushes are fine just disappointed with the bowl 
3,Has not try on the products. And Dont have english to explain how to use it.
4,Big and easy to use
4,The colours are vibrant and look good. they fit my earphone cable much better than my charging cable.
5,Item arrived earlier than expected. Tested and works perfectly on Samsung Galaxy S20 Plus. Pleasant experience. Thanks! :)
3,"Reasonable quality for the price however colour description is abit off. Description indicated as black colour however when item arrived, it was actually dark brown not black."
1,Can only sealed  NOT able to Vacuum ;(. Have PM the seller. But was v disappointed with the replied  :(
1,This is waste  product  google play store not working using for what?   don't buy anybudy please pls pls
2,Repeat buyer. Unfortunately this time i received the items. Luckily im fine with the current reed diffuser design. 
1,"Ordered on 27/4, received on 8/5. Carton condition not satisfactory.
Came w/o handle, seller resend handle, received on 12/5. Handle was not satisfactory, cannot fit."
1,"Good for value, but no coating at all. Even the cheapest tempered glass I bought can feel the “slippery-ness” when applied. This have non of that "
2,"quite disappointed w this tbh, the buttons cant button the shirt properly & comes out very easily when ure wearing the top. The top is way too low & cropped unlike in the pic. "
5,"Happy with my order! Item is hard, not those rubber type! And delivery didn't take too long too. "
2,Not much of a difference in colour.. Packaging is not well and glitter spilling everywhere...
4,I had the impression it’s is for 5 pcs since the option is to choose A or B (Minnie mouse). But only 1 piece came. 
2,Took super long.
1,Didnt expect to be sucha small bottle. I thought it was the bigger one? Never seen this size in stores before thou. Sigh. Not worth it
2,Need to force it into the outlet before it works. 
3,Delivery too quite awhile. It’s affordable but there’s quite a lot dust on the shirt.. quite disappointed as it’s for baby. 
3,too transparent.. can see what color underwear you are wearing..
3,"Took almost two weeks for delivery. Box is squashed, item looks a bit oldie "
1,Not satisfied with item but seller refuses to refund despite 15 day return policy 👎👎👎
1,"Will not recommend, the product sent is about to expired in 4 months time. Seller are not prompted with respond as well."
5,Well received and consider fast delivery from oversea (about a week) 
1,"Received toffees black tea but the taste is not as good as black and green mixed tea!
They should removed as customers do not know there are out of stock for the black and green mixed tea!!"
3,Elastic string is very thin.
2,Assumed that the green colour is a darker shade since there isn’t any picture at all. Disappointed that it came as neon green instead. Next time upload pictures of all the colours
4,"front face is okay, no bubbles, but bubbles appeared on the sides after putting in the case... "
3,Both my hooks got slight bent mark. 
2,"Bought two because of the good reviews, but disappointed that it is not as fluffy or thick as shown in the pics. Doesn't feel worth the price. I don't think I will buy again. Two stars for the decent material. "
1,Too big for me even though I followed the measurements when making the purchase ):
4,The size is ok for my Daughter and the material is good. Loved the hello kitty one.
1,Condition of box was bad upon opening of package received. Lucky thing the masks was wrapped & sealed (air tight) . Otherwise product review could even be worse. Disappointed with my first order from Shopee 👎
3,Order received late.
5,2nd time order! Well pack with bubble wrap. I will but again. Thank you. 
2,Batteries tested and working on my controller but the charging Dock is unstable when u place the battery to charge. The led indicator will Sometimes show red then change to green then red again. Not sure if battery is already full or still needs charging. Need to play around with battery position 
4,Cups abit flat. Fits better for smaller built ladies. Ok for this price.
3,Have not install.
5,Delivery is ok. Item came in good condition and well packed with bubble wrap! Have yet to the Ordinary products. Hope it works!
2,Items don’t looks good to use. Looks sticky. Will consider buying other type next time. 
3,Good product but lack of the dust sticker. Luckily there is 2 pieces.
2,I’m not able to connect the camera to WiFi despite multiple tries. Tried to contact seller for advice however no replies. Just too bad for me :) 
5,Cute socks! Quite fast delivery! Recommended! Thank youuuuuuuu! 😊😊😊😊
3,item received well and packed nicely. shipping might have been delayed due to sale period 
3,I’m not a huge fan of this pdt because I’m fair skinned with blemish and it leaves my face overly-white. I don’t think I can wear this product alone but to layer it with concealer or foundation to match my neck colour. Love the bottle though and thks for the gift!
2,"I ordered 12 pieces, only received 10 pieces. Doesnt comes with the centre nut as shown in picture. Otherwise it can hold well. "
5,Item was securely sealed and protected. Thank you for delivering item on time. 
2,Sizes are not accurate.. black color is bigger than khaki color.. and the price is not real coz seller featured $.99 per piece but i end up paying $6plus with $1 shipping fee.. but i got another extra underwear which even smaller even its all M size .. 
1,Already told them that the tripod cannot stand when the 3 legs fully extended n it also cannot locked by the remote control holder. Numerous of messages transpired yet they still insisted no problem. A few of my friends also figure n we all found something is missing.
2,"Doesnt look the same as per picture, disappointed."
5,Fast delivery.thanks for gift
4,Quantity more than what I expected. Delivery took really Long. Quality seems decent. 
2,Slow delivery. 
2,Material is nice. Just be aware that seller was reluctant to do a refund/exchange on the wrong size given 
4,"Received in good condition but doesn't look authentic Samsung. But For the price range, ok to use"
5,Good items quality. Fast shipping.
5,Received the drinks today. Thank you! Ordered 2 days ago n received it today. 👍🏻
5,"It’s actually quite slim, not too heavy. Love the color, outs very pastel pink. Girls will definitely like this. "
1,Beware:  the internal storage (ROM) of 128GB is fake.  Buy at your own risk.  
3,"Fast delivery, but POOR after-sales service. Was missing with 2 items and had to WAIT 10+ days of investigation + 7 days for refunds to be processed to my Shopeepay + 1-2 days to transfer to my bank account. Cant believe the worse CS lies in Shopee itself"
5,"Items received .
Very sorry late reply just back from holidays
Happy New Year  2020
"
3,Colour not as vivid as shown
1,It's not working. Led did not display anything.
2,I give you seller 1 star is respond few hours second star given to you is product not bad the fourth and fifth star I unable to give you be very honest shipping is very slow even I pay stand Express yet received 3 hours ago purchase on 27/12/2019 arrive 05/01/2020 10:58pm come so late for what !  
2,Wrong colour of the cable delivered but it was too troublesome to return the product fir a refund during covid19...
3,Shipped the wrong parts. I order A-09 luggage wheels but I got A-08. Can’t use! 
1,"Hi all please take a look at this. Any 6 for $1 off? Not too sure why? I don’t know? 
What kind of seller is this!! So disappointed my god!! Item is so so but this kind of cheating and lying is a nono therefore 1 star "
5,Received item in good condition. Thx
4,"Compared to more tubular versions of silicone travel bottles, this one is slightly harder to squeeze since it has a really slender body. Good thing it comes with a non-drip mouth that prevents any liquid contained within in from flowing out when held upright unless squeezed. Delivery took weeks."
1,Lousy . Asking for 5XL but item all were small as if its for M. Will never order again
4,I asked for green but received brown??? Hahaha but not that mad abt it it’s pretty cute just hope they deliver the correct color next time!! material is quite good
1,Very fragile
2,Very hard pads and bad quality material 
2,length was okay but the top was oddly loose at one side
1,NOT GENUINE BRAND. SLOW REPLY ON AFTERSALES.  
4,"Took a little bit longer than expected to be delivered. The first time I bought, got it the next working day. This time, 3 working days after. But the smart plug is good. Easy to setup, works with IFTTT, I can set it to turn on or off based on I am leaving or coming back to the house."
2,"Item is ok. Tested and set new password. Working just fine.
But delivery take forever. Got 2nd batch order and yet to receive first one until now."
4,Item received as pictures described. Not yet try..
3,"Received walnut instead of cashew.

This doesn’t taste like (Australian) nougat. Nice packaging and soft texture but I think would be more aptly described as a soft, condensed milk sweet with nuts. Not what I was expecting or that nice. 

Gin Thye’s honey joys & savoury tau sar piah are much better"
5,Well package and fast delivery. Thank you for the good product
1,"Seller, which part of it is Down? Evidently this is a MicroFiber. And the gsm is too little that’s why it is so flat even after i unzipped and fluff it. gsm should be less than 1000 i supposed. 

Not recommended. 
1) too flat. 
2) not Down as advertised. 

Seller getting away with fraud apparently. "
3,material not as comfortable and smooth as expected. feel kinda rough
2,"The item took extremely long to arrive, information inaccurate. Got the item, packaging is good. "
3,Box had a small hole
2,"送货挺快的。
但这个质量真的是不好，才用第一天就这样了。
第一次订不够，货还没到就又订多一次。
希望第二次的订购，质量是没有问题的。"
2,Colour will fade off 
2,"Too big and doesn't look exactly the same as photo 
Abit disappointed "
3,"Second purchase, the quality is not as good as the first purchase and one nipple head was broken. "
3,Take a few day to deliver.  Their 32cm size is different with store size.  Looks small to me. Yet to use.  
4,Shorts size is small... Other than that good product 
1,Item torn when received. 
2,Item received in good condition but material too thin and not worth price. 
3,Fast delivery and good quality! However I wanted to change my order and the seller rejected my request without even checking with me.
5,"Came fast, everything nicely wrapped with free gift. "
1,"it’s small yet light
i got it not long ago and it’s crack alrdy 
abit waste $$"
3,"The fit is good for my 4yo, length is good too. The material is thin for our hot climate, but it is the rougher type of linen. "
5,"Product as described, took a little long to deliver but it’s free delivery!"
3,"The colours are of a different shade. Yellow became light orange, greenish grey became fog grey and blue became purple. "
3,Mask size is not for kid but an adult size
2,The small base was dirty n at the bottom there was a chip 
5,Fast delivery especially during festive season
4,"Not the colours shown in the picture but still a figure is a figure for the price
Box came dented but the figurine itself is fine "
5,"Very fast, packing good.
Sibei sibei sibei sibei good good good......nice seller!
Huat arh!"
3,"Its not as good as the first one i bought :(
The blade was abit blent and the screw (?) gets tighter when i use it"
2,"The herb I smell not same as what I bought before, that weird"
2,The wipes were almost dried up. Probably close to expiry date. Won't repurchase
1,Ordered on 4 May but now haven’t received the item yet... seller responded rarely.. don’t know when can I get my item 🤷‍♀️
3,"Not too sure if I prepared right, taste is okay. "
4,"Delivery within expected timeline.  It works as described and you can feel the vibration. If you have long hair,  you must tie it up or else it could tangle  up with the fan. It does help me to reduce aircon usage when WFH."
5,Just one pcs.ok
3,Ok for price
1,"Bought 3 watches, 2 of the pin on strap were broken after wearing it for 1 day. "
5,Wow i am super super impressed by the quality! And it is sooooo cute too!! Delivery was within a week as well! There are 3 sticks that helps to stiffen the sides of the seat so it doesn't slouch inwards. So glad to have found this seller! Will definitely repurchase! Highly recommend!
4,"Not bad quality and good price. Normally I use to wear M size but for this produce ahold buy bigger size. 
"
3,Material not cotton will not absorb sweat dint like it that much
3,The pants is small and tight for a size M-L person like me. But the shirt fits nicely on me
1,Ordered 2x bundle of 2 but delivered only 1x bundle of 2. No refund allowed. Had to wait for missing 1x bundle of 2. Originally planned as a gift but that obviously didn't work out because of missing quantity. Very bad experience! 
1,"i bought 36 pcs, but only received 35 pcs. SELLER please take note on this. i had read others' review, dont keep repeating this mistake for your TRUSTED customer."
1,"Second review after using the product for a week, poor quality,  Charge fully can only use less than an hour or worse 30min , right piece button spoil.  Not recommended and won't purchase again. "
2,"Got scratch and the goggles was blurry
"
1,"Received item take very long time then expected date,product test FM channel keep on jumping to other channel,not worthy to purchase label stick out and bad frequencies receiver noisy."
4,I like the material. But the material is a little too thin. Seems a bit tight too.
5,Took time to arrive but nice and fluffy! 
3,Sturdy. The rods are coated with oil so I do not suggest rolling the clay out immediately. The parts are dirty and scratched but this is one of the cheapest clay roller I’ve found so far.
3,good product but the left and right sound imbalance and the product is quite sensitive to touch...battery wise die faster than i thought 
3,"Material is cooling and translucent. Better for small built in XS and S size. Im an M-L, can try if u r not tying coz overlapping the front lapel doesnt work for bigger built. Material and sizing worth the price lah. "
1,"Bought these for my mum on 27/4. They didn’t dispatch until 8/5 night, aft I sent multiple msgs stating that it’s been 10 working days.(They took damn long to reply.) Parcel only arrived today 14/5. I just think the whole process is too long. Not a very pleasant experience."
2,dirty
3,Quality and Color etc are decent. Like the photos. Diff feeling from model photo when worn.
1,It wasn’t original 😐.   The original watch is lighter than this watch 
4,pretty suits me
2,Item received with good condition. Have tried it. But result is 👎🏻👎🏻👎🏻😓.
2,received with big scratches on the seat cover. this is for bottom screw not for the top screw that i need
1,Old item sent to me. Can see that inside of canister is rusty and corroded. 
2,It's not strong enough but its ok
4,Had a hard time fitting this together but finally got it in the end. Hope it works well
4,"Came in good condition, with bubble wraps. But the silicon part was stiffer than expected. Hopefully it works well."
1,It's not as good as it described. The lights doesn't Shorne into the earhole that much as compared to the digging stick. And the quality of the light also not that good as it flashes when using half way. Not quite satisfied with the purchase. 
1,Came with tempered glass cracked. Useless.
1,Gak ada Talinya
4,"The socks look fine except that the animals are different on each side for the yellow ones.  Nevermind, I think it's still wearable."
5,Received but yet to open up n try. 
4,"delivery super duper fast. but the items some are torn out like the clips cant clip n so on..and heavy shoes must be place below, slippers all can be placed on top. cant stack high due to heavyness of the shoe. a bit neater now. hope can last long. 
.
forget to take the pic of the dented ones. "
2,Ordered XXXL upon receiving was disappointed as the size equivalent to M size
3,Delivery was prompt. But not quite “premium” as described. Stand wasn’t stable and wobbled. 
4,My 20 moths old don't quite like this. But I'll keep offeeinf
3,not really working for me
5,Received and packed nicely!Thank You Seller
5,Very nice cover ! Love it 
1,Definitely not original... please dont buy if you want a original controller
2,Workmanship pretty bad but can't really complain because of the price. They are a bit small for my hands too.
2,Item came..but the package was badly damage.. 
4,still big for my boy but the prints looks good. materials wuite good as well.
5,The book came well packaged in a bubble wrap bag.. Vivid colors and interesting short stories great for little ones. 
1,Bad quality 
2,"Not the same as displayed. Apparently, its a jeans short and its blue! Not black! Just by visual, u can tell its not XL!"
5,Received order nicely packed in a box. Seller was responsive to my query also. 
5,not so firm but value for money.... great still :) if u dont expect so long or so firm
5,very nice and convenient!!
1,"Delivered wrong item. Yet not responding for refund. Seller is not reliable. Delivery guy rude and refuse to collect back the items.  Despite many efforts, seller refused to take back the wrong item and refund. I had to go to consumer association for a refund."
2,"Got crack Mmm, the quality is meh i guess. Not much different from other brands. "
1,Worst buy. Bought it just to end up left bud not working. Saw previous reviews but thought it was a one off incident. Guess all their items are faulty. Both got light but one side not working. Unacceptable at all
3,"quality good, but the 140 size is smaller 3cm. "
1,Very very very slow delivery. Not recommended unless u can order much earlier then u want to use the item. 
4,Item received in good condition. Will repurchase if delivery is fast enough 
3,Watch a little bulky and light but it does its function...... 
5,Nice! Good buy! Will order again. 
5,"Delivery was quick! Speakers sounds good and have Bluetooth function, really good value for this price."
4,"Can't expect much for the price. Material is very thin and flimsy. May tear easily. Will be a little big for ladies with smaller bust size, 70B. "
3,Lashes are very long and dramatic. I heard someone has sensitive eyes after using so i haven’t used it yet 
3,Not very sensitive after putting it 
2,"This matte tempered glass might have resulted in me not writing properly with my Apple pen :/ & this screen protector “blurred” my screen, it made my screen blurry :( , idk why...& also resulted in not be able to sense my Apple pen well T.T I often need to rewrite. "
5,"Trusted seller, well packaged and fast delivery. Can’t wait to try!"
2,"cover broke in half and unable to cover at all, brush tip was dirty too, quite upset"
2,"Thickness only about 1.2cm, not 2cm
Has big gaps in the mat
Squeaky sound when stepped upon, feels like stepping on styrofoam board"
5,Receive it on the day itself just withing an hour or so. Really recommend this seller! Definitely will order more in the future!
3,Some scratches but its fine considering the price.
2,My Samsung note 10 touch screen became not sensitive and hard to press after putting on the screen protector :(
2,Material not as expected 
4,Fast delivery. Material is thin but good for singapore weather.
2,"Wahhh your shop so lie ,andante say have warantee 6-month and just 9 day have problem never mind my chat "
2,Quality feels good but the charging wasn't fast
5,Gud and soft leather ...Overall recomended .....Cheap price ni compromise with quality ....Nice seller came up nivel packed ...Overall recomienda 
3,Packing is good but slow delivery. When i recieve the item there is abit of chip off from the corner of the tempered glass. Overall good still :)
4,Items well received. Delivery took some time though. Mostly in good condition! Hopefully it sticks well. Thank you seller!
3,The clothes are not from Carter’s. 
1,"Worst Buy! No business ettique. Faulty product, plug exploded which nearly caused fire. Insisted buyer to exchange and no apologies. Bully buyer by insisting her to go down to shop to return product, if not, no refund when the refund has aldy been accepted. Worst experience ever! Never buy from them"
1,"Quite some time to arrive and the wrong item came. Bad quality too. Contacted them but hardly responsive & with autobot messages. A lot of waiting later, I decided to seek help from shopee, got my refund. After a few days suddenly seller ‘offers’ me to request refund. Like what? 🤯🤷🏻‍♀️🤦🏻‍♀️ "
2,took three weeks to arrive and its not worth the wait... sizes are not accurate. 2xl seems like size M
3,Expire date is nov 2020
2,It sticks on your skin after use. Not very good
5,These chips are da bomb! Will purchase again!
3,The quality was decent. Do note that this is not an authentic product. It’s shipped from china.
2,"Delivery ok. Items came in good condition but disappointed. Took a big size bigger but still can't fit me. Too small to call it as a ""XXL"" not recommended. "
5,Well packaged and intact. Received in good order. Thank you
3,Meet my requirement. Cannot fully secure the drawer. Can still open slightly. But it should be ok.
5,"Came in quick
"
3,Worth it for the price. Some minor scratches on the glass. But overall okay la.
4,"it works but a tad noisy and also not very powerful, takes quite awhile to inflate my tyres "
1,"The net not suitable my bathtub; not lever, length also not enough. Delivery took some time"
4,item well recive fast delivery
5,Look good and delivery was fast. Have not stick up yet.
5,Definitely worth the buy! So cute!!!! And reasonable price unlike the ones sold by ig businesses!!!! Very satisfied 👍🏻👍🏻👍🏻
5,Cool cool Cool cool Cool cool Cool cool Cool cool Cool cool Cool cool Cool cool Cool cool Cool cool Cool cool Cool cool Cool cool Cool cool Cool cooCool cool Cool cool l Cool cool Cool cool Cool cool 
2,"Received stock within 10 days. But the phone clip is lose, I can't place my phone probably. How can solve this problem????? "
1,Normally I wear L/XL but I ordered XXL and it’s too small. Sizing is definitely not accurate.
3,So-so..
1,"Missing one led stripes

"
4,"Ordered: 09/05/20
Received: 08/06/20

Item received in good condition..
Material is good.."
4,Delivery took awhile. But overall good!
4,"Good, package received well."
2,Received as per ordered. The fan is a bit noisy but bearable if it's day time. However when it's quiet at night the noise becomes more prominent. There is only 2 height available and it's troublesome to do so. Good thing is the wind is pretty strong even at lowest speed. 
3,Workmanship is not that fantastic. My company gave me one and is better. 
5,Love it. Thks
4,"Yet another delivery in foam box! 
Tested and casing fits perfectly! 
Thank you!"
3,Seems like not very sharp and not able to shave off the brows properly.
3,Not impressed with the quality. The ridges caused by the folds are too wide for cars to run smoothly. Mat makes squeaky noise when you sit/ stand/ walk.
2,Not worth the buy with the material.. moreover the white is not pure white as pic is off white in colour 
2,"Material very thin, even black color also can see thru :("
3,"It honestly didn’t stick to my skin hence when i wear my clothes , it tends to fall out :( "
2,Got this at a flash deal for 99cents. Only 1 pc. Pls get from other sellers who is selling at much lower price without flash deal
3,Quality is okay. Strap is much shorter & bag is smaller than in pictures. Exactly fits a MacBook. 
3,"Delivery was fast. Although not as the 'real' brand, but value for money. "
1,"During order inform seller not to sent wrong size.
2nd time buying and 2nd time sent wrong size again!!!!
Seller cannot understand simple request."
5,Well packaged and delivery notification sent prior to delivery
4,Pretty but didn’t know it was that small ! 
1,Very cheap material. Wordings not printed well & some came off. Not recommended. Package came well wrapped though. 
5,"Nice product.............................
Thanks shopee"
3,Order received but the size was too big for me.. 
4,Too small to my kids but value for money 
1,Poor quality.
3,Shorter then what I tot but material still light not bad 
5,Arrived within a week of ordering! Thanks so much for the quick and accurate delivery service. Product is as described. Value for money!
4,"the bottom is true to size stated, bought a size too big just in case - fast delivery 1 week"
5,"Delivery took 10 days, seller include a sample "
4,"Quite easy to install, able to hold ipad just that it appeared slightly wobbly at the start"
5,"Good quality material, feels like hotel quality"
1,Picture inside is different from the picture on box (the one I ordered). Quite disappointed to receive a different product.
3,Received it early..tried too seems good 
5,Prompt  delivery 
5,"Received product is good conditions! 
Working as well! 
Thank you! "
1,Very very small
2,Great quality but sadly items were Poorly packed. Items came with damaged box. Not recommended unless they really pack this properly for shipping.
3,design is satisfactory
3,Just ok not so strong
3,"Received in good condition by mail but not sure if I applied too little the first time it didn’t work very well for me, will try again. I didn’t like the smell also..."
2,Fast delivery but the quality is not so good. The watermelon logo is not aligned on one of the socks
2,Disappointed item has holes. Ordered 3 items. 2 was ok. 
1,Had high expectations for this. But its frustrating that the plastic cant even be removed.. 
2,Easy broken.
5,lightweight & of average quality but look super pretty! didn't regret buying!!
4,Took a size bigger as recommended but turned out too big. Still can wear but better to get your usual size. 
4,"everything was goof but material was a bit itchy and i had to cut open the button hole by myself. other than that it was a good buy!
"
2,Order received very very late!
5,"Didnt expect to be this slim🤭
Nevertheless will know how many to buy next time"
2,Color is horrible and not true to picture. Which avocado is neon green..delivery time was acceptable and material seems ok. 
2,Items received but one not working properly and no reply from seller on replacement or alternatives.
4,Received with thanks. 66L Box is good for storage of soft toys. 
1,Very bad... open it and saw the liquid all spill out.. will never buy again
3,"Wallet look much bigger than expected. My girl don't like, I also find too big to put in pocket. "
4,"Not bad, gems look real but too big to be believable, clasp system a bit sketchy but overall good value for money "
5,Very comfortable my baby love it
5,"Received item in good condition, fast delivery... Recommended👍🏻"
